pdf_letter_section,pdf_source_order,pdf_business_name,pdf_original_summary,pdf_source_directory_url,added_enrichment_label,enrichment_confidence,added_enrichment_note,enriched_business_name,enriched_official_website,enriched_chamber_profile_url,enriched_phone,enriched_email,enriched_address,enriched_city,enriched_state,enriched_zip,enriched_business_category,enriched_verified_summary,added_enrichment_sources
0-9,1,14th Judicial District Clerk of Court,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/0-9,Enriched,High,Enriched or corrected from public Chamber directory and/or official public web source.,14th Judicial District Clerk of Court,https://www.calcasieuclerk.gov/,https://events.allianceswla.org/list/member/14th-judicial-district-clerk-of-court-106197,(337) 437-3550,,1000 Ryan Street,Lake Charles,LA,70601,Government,"14th Judicial District Clerk of Court is the Calcasieu Parish clerk office in Lake Charles, Louisiana, handling public records and court filing services.",https://events.allianceswla.org/list/member/14th-judicial-district-clerk-of-court-106197; https://www.calcasieuclerk.gov/
0-9,2,7Brew Coffee,"Restaurant, food service, catering, grocery, or beverage business.",https://events.allianceswla.org/list/searchalpha/0-9,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,1,Ad Source,Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/a,Enriched,High,Enriched or corrected from public Chamber directory and/or official public web source.,Ad Source,https://adsourceoutdoor.com/,https://events.allianceswla.org/list/searchalpha/a,(337) 477-4470,,11 State Street,Lake Charles,LA,70605,Billboards | Advertising & Marketing,Ad Source is an outdoor advertising company serving Southwest Louisiana with billboard advertising and related marketing services.,https://events.allianceswla.org/list/searchalpha/a; https://www.facesofswla.com/home/roasted-cauliflower-garlic-dip-d8hw4-hrb66
A,2,"AOP, Inc.","Office technology company providing copiers, service, managed IT, cybersecurity, cloud hosting, virtual desktops, and fiber internet.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,3,"A Daisy A Day Flowers & Gifts, Inc.","Retail, specialty goods, home goods, supplies, or consumer products.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,4,"A Door-Works, Inc.","Construction, contractor, building trades, or home improvement services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,5,"A&B Group, Inc.",Transportation company handling liquid and dry bulk hauling plus cryogenic perlite installation/removal.,https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,6,A&D Financial Services,"Entertainment, recreation, events, tourism, or venue services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,7,ABC - Associated Builders and Contractors Pelican Chapter,"Construction, contractor, building trades, or home improvement services.",https://events.allianceswla.org/list/searchalpha/a,Not enriched,,Original PDF row retained; no additional lookup data has been appended yet.,,,,,,,,,,,,
A,8,"Abell & Son, Inc.",Local business or organization listed in the Chamber Southwest Louisiana directory; exact service summary should be verified from its website or member profile.,https://events.allianceswla.org/list/searchalpha/a,Enriched,High,Already enriched in the prior consolidated file; retained.,"Abell & Son, Inc.",https://www.abellandson.com/,http://business.allianceswla.org/list/member/abell-son-inc-104572.htm,(337) 433-1434,info@abellandson.com,5325 Hwy 90 East,Lake Charles,LA,70615,Farm Equipment & Supplies,"Abell & Son, Inc. is a family and locally owned farm equipment dealership that has been specializing in the agricultural, light construction, and consumer equipment industries in Southwest Louisiana since 1916.",
